trial_id,stim_id,$block,$cond,congruent,$context,$text,$question,$short_context
number,number,string,string,boolean,string,string,string,string
22,13,NegativeTwitter,a,true,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.","Been at work for not even 4 hours and I've thrown boiling tea everywhere, smashed a mug, smashed a milk jug and sliced my finger open",NO_QUESTION,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
16,15,NegativeTwitter,a,true,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.","It's rained every day since June 30. That's 13 #dreary, #soggy days in a row. #auckland",The author seems sad.,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
19,7,NegativeTwitter,a,true,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.",I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,NO_QUESTION,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
20,21,NegativeTwitter,a,true,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.",@Rainbow6Game felt guilt from playing this game. #horrible #RainbowSixSiege,NO_QUESTION,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
1,24,NegativeTwitter,a,false,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.",Omgsh Alexis is sooooo freaking funny on #BachelorInParadise  That pizza segment! Plus I love her and Jazzy's friendship!,NO_QUESTION,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
23,6,NegativeTwitter,a,true,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.",@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,NO_QUESTION,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
21,10,NegativeTwitter,a,true,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.","Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",The author of the tweet was feeling angry.,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
17,17,NegativeTwitter,a,true,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.","To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost",NO_QUESTION,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
0,23,NegativeTwitter,a,false,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.",@mashable For some reason this has filled me with delight. See Auntie laugh.,The author of the tweet seems happy.,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
18,11,NegativeTwitter,a,true,"The following tweets were written by people who were feeling bad in some way. The writers were feeling dissatisfied, discouraged, or otherwise negative; they tried to express that feeling through their tweets.","I finally left the dark room I've been crying in & instead of getting some sun on my translucent skin, I got 6000 mosquito bites. #blessed",The author of the tweet seems frustrated.,"Tweets from people who were feeling dissastisfied, discouraged, or otherwise negative."
30,41,PositiveTwitter,a,true,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.", Its amazing isnt it. Im a big fan of B&W but the life these restorations give the photographs is awe inspiring.,The author of the tweet likely doesn't know much about photography.,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
24,32,PositiveTwitter,a,true,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.","Let me no longer languish in #pain, but look forward with #joy to all I have been gifted to achieve in my life.' ~ #Eleesha  #quote",The tweet shares an uplifting quote.,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
25,34,PositiveTwitter,a,true,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.",@RickHoffman_ And we are all so grateful for your perseverance! Happy Anniversary twin!,NO_QUESTION,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
3,5,PositiveTwitter,a,false,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.",Some 'friends' get bitter when it seems your life is moving better than theirs.,NO_QUESTION,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
29,25,PositiveTwitter,a,true,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.",@rickysnecklace I'm so proud Mils! Keep smiling,NO_QUESTION,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
27,35,PositiveTwitter,a,true,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.",Nothing makes me happier than managing my depression well.,NO_QUESTION,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
2,3,PositiveTwitter,a,false,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.","I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",The author of the tweet is likely feeling demoralized.,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
26,36,PositiveTwitter,a,true,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.",I am really flattered and happy to hear those complements for my blog! You guys motivates me to write more for my blog. Thank you! sml ,NO_QUESTION,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
28,38,PositiveTwitter,a,true,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.",Good morning and happy Tuesday! I hope you have a terrific day! Enjoy it tons,NO_QUESTION,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
31,31,PositiveTwitter,a,true,"The following tweets were written by people who were feeling good in some way. The writers were feeling happy, hopeful, or otherwise positive; they tried to express that feeling through their tweets.","Sometimes, you just need to eat a delicious piece of chocolate to remind yourself that there's no need to be bitter. Sweetness redeems.",NO_QUESTION,"Tweets from people who were feeling happy, hopeful, or otherwise positive."
