stim_id,text,style,baseline
1,"It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",Negative,"{""id"": ""cmpl-68YcUaga4DN7fiLs3yWUq8sFcz0yF"", ""object"": ""text_completion"", ""created"": 1667497722, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\n"", ""The"", "" following"", "" is"", "" a""], ""token_logprobs"": [-0.08313979, -0.005799132, -2.7452886, -1.1098332, -3.1667686, -3.1685421, -1.5775186, -0.48255345], ""top_logprobs"": [{"" Negative"": -0.08313979, ""\n"": -2.7060158, ""Neg"": -5.4115, "" negative"": -6.1795044, "" The"": -6.4895973}, {""<|endoftext|>"": -0.005799132, ""."": -5.24429, ""\n"": -8.197855, "" text"": -10.294949, ""\n\n"": -10.496584}, {""\n"": -2.7452886, ""#"": -3.024363, ""Q"": -3.2258167, ""The"": -3.489567, ""\"""": -3.708041}, {""\n"": -1.1098332, ""\\"": -1.3008676, ""#"": -2.21269, ""%"": -2.9358687, ""import"": -3.6207535}, {""The"": -3.1667686, ""A"": -3.651379, ""B"": -3.7382555, ""I"": -4.130544, ""("": -4.1850023}, {"" following"": -3.1685421, "" Canadian"": -4.1284404, "" product"": -4.525742, ""sa"": -4.9849176, "" first"": -5.0095816}, {"" is"": -1.5775186, "" questions"": -1.7335837, "" message"": -2.2947679, "" are"": -2.9883435, "" list"": -3.591766}, {"" a"": -0.48255345, "" an"": -2.1543932, "" from"": -2.403492, "" the"": -2.581892, "" my"": -4.5863757}], ""text_offset"": [268, 277, 277, 277, 277, 277, 277, 277]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 59, ""completion_tokens"": 1, ""total_tokens"": 60}}"
2,The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency.,Negative,"{""id"": ""cmpl-68YchWMY5RLYsQfPH5Gs6LRnZK94P"", ""object"": ""text_completion"", ""created"": 1667497735, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.07376879, -0.0054105395, -2.7977953, -0.9820872, -0.058731265, -0.07696081, -0.16694959, -1.0785182], ""top_logprobs"": [{"" Negative"": -0.07376879, ""\n"": -2.8096247, ""Neg"": -5.794612, "" The"": -6.2362885, "" negative"": -6.318053}, {""<|endoftext|>"": -0.0054105395, ""."": -5.314847, ""\n"": -8.116372, ""\n\n"": -10.219734, "" text"": -11.014003}, {""\n"": -2.7977953, ""Q"": -2.9472132, ""#"": -3.168789, ""The"": -3.4389665, ""\"""": -3.6324205}, {""\\"": -0.9820872, ""\n"": -1.3495637, ""#"": -2.5795145, ""%"": -2.6715012, ""%%"": -3.4173071}, {""document"": -0.058731265, ""new"": -4.4032564, ""Requ"": -4.5834074, ""def"": -4.914032, ""begin"": -5.234338}, {""class"": -0.07696081, ""style"": -2.612627, "" class"": -8.780886, "" style"": -9.447611, ""Class"": -10.728243}, {""["": -0.16694959, ""{"": -1.9437039, "" ["": -5.2311964, ""[]"": -5.6109295, "" {"": -7.795406}, {""12"": -1.0785182, ""11"": -2.1843789, ""10"": -2.6237624, ""a"": -2.6519997, ""use"": -3.1382363}], ""text_offset"": [231, 240, 240, 240, 240, 240, 240, 240]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 52, ""completion_tokens"": 1, ""total_tokens"": 53}}"
3,"I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta",Negative,"{""id"": ""cmpl-68Ycw58P1Qwr1UAXsFMiZY0FRrYe4"", ""object"": ""text_completion"", ""created"": 1667497750, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""#"", ""include"", "" <"", ""std"", ""io"", "".""], ""token_logprobs"": [-0.26403505, -0.004542253, -2.442898, -1.0880384, -0.6033709, -1.1660815, -0.11308418, -0.00016960275], ""top_logprobs"": [{""\n"": -1.5146158, ""Neg"": -5.2548394, "" Negative"": -0.26403505, "" The"": -6.4826365, "" negative"": -6.6021686}, {""."": -5.5402856, ""\n"": -7.7255135, "" text"": -10.784522, ""<|endoftext|>"": -0.004542253, ""\n\n"": -10.062899}, {""\"""": -3.5970175, ""\n"": -2.4731429, ""#"": -2.442898, ""The"": -3.9095762, ""Q"": -2.6627617}, {""pr"": -3.556458, ""include"": -1.0880384, ""if"": -2.5559654, ""!/"": -1.8285866, "" -"": -3.5489407}, {""\"""": -5.3837476, "" <"": -0.6033709, ""\t"": -7.285599, ""<"": -2.0359766, "" \"""": -1.1596178}, {""std"": -1.1660815, ""c"": -3.0393858, ""i"": -1.4599698, ""string"": -3.4693823, ""bits"": -1.9484187}, {""."": -4.6661634, ""except"": -4.562465, ""int"": -4.249964, ""lib"": -2.6965039, ""io"": -0.11308418}, {"","": -13.082328, ""."": -0.00016960275, "">"": -9.170948, ""_"": -10.243974, ""h"": -12.026579}], ""text_offset"": [216, 225, 225, 225, 225, 225, 225, 225]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 58, ""completion_tokens"": 1, ""total_tokens"": 59}}"
4,"The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting.",Negative,"{""id"": ""cmpl-68YcxDmbKvXIs3Mpe8HQSxLCCURCO"", ""object"": ""text_completion"", ""created"": 1667497751, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.13015658, -0.006159504, -2.7605667, -1.0326163, -0.0536094, -0.080398366, -0.16875498, -1.0639801], ""top_logprobs"": [{""\n"": -2.2332306, ""Neg"": -5.4551034, "" Negative"": -0.13015658, "" The"": -5.8256965, "" negative"": -5.968389}, {""."": -5.175371, ""\n"": -8.227324, "" text"": -10.625258, ""<|endoftext|>"": -0.006159504, ""\n\n"": -10.648899}, {""\"""": -3.6806316, ""\n"": -2.7605667, ""#"": -2.9913113, ""The"": -3.3801088, ""Q"": -3.3810318}, {""import"": -3.533722, ""\n"": -1.4543328, ""#"": -2.4007058, ""%"": -2.8687263, ""\\"": -1.0326163}, {""Requ"": -4.584746, ""document"": -0.0536094, ""begin"": -5.3091702, ""new"": -4.4585266, ""def"": -5.062057}, {"" class"": -8.866616, "" style"": -9.555254, ""class"": -0.080398366, ""style"": -2.5687215, ""Class"": -10.931247}, {"" {"": -7.6948276, ""[]"": -5.6084805, ""["": -0.16875498, "" ["": -5.1076565, ""{"": -1.9383463}, {""12"": -1.0639801, ""11"": -2.2002926, ""use"": -3.1522188, ""a"": -2.6614523, ""10"": -2.6181965}], ""text_offset"": [222, 231, 231, 231, 231, 231, 231, 231]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 47, ""completion_tokens"": 1, ""total_tokens"": 48}}"
5,Some 'friends' get bitter when it seems your life is moving better than theirs.,Negative,"{""id"": ""cmpl-68Yd7ihLgkOJXHZR6RA7bt2iFvqNI"", ""object"": ""text_completion"", ""created"": 1667497761, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\n"", ""The"", "" following"", "" questions"", "" have""], ""token_logprobs"": [-0.16819529, -0.008589296, -2.389748, -1.1165882, -3.1679094, -3.2238202, -1.5781361, -0.00069291756], ""top_logprobs"": [{"" Negative"": -0.16819529, ""\n"": -1.9534127, "" negative"": -5.7792206, ""Neg"": -5.9482584, "" The"": -6.0532484}, {""<|endoftext|>"": -0.008589296, ""."": -4.7963243, ""\n"": -8.891095, "" text"": -10.807014, ""\n\n"": -11.0262165}, {""\n"": -2.389748, ""#"": -2.6276717, ""Q"": -2.743906, ""\"""": -3.6263676, ""The"": -3.877515}, {""\n"": -1.1165882, ""\\"": -1.3578783, ""#"": -2.246103, ""%"": -3.0561838, ""import"": -3.497484}, {""The"": -3.1679094, ""A"": -3.6505792, ""B"": -3.7058945, ""I"": -4.1430454, ""("": -4.2062874}, {"" following"": -3.2238202, "" Canadian"": -4.133209, "" product"": -4.5516043, ""sa"": -4.733743, "" first"": -4.950302}, {"" questions"": -1.5781361, "" is"": -1.6630847, "" message"": -2.3150384, "" are"": -3.0875506, "" report"": -3.3967478}, {"" have"": -0.00069291756, "" are"": -8.359779, "" were"": -8.46472, "" and"": -9.858236, "" can"": -10.154967}], ""text_offset"": [161, 170, 170, 170, 170, 170, 170, 170]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 36, ""completion_tokens"": 1, ""total_tokens"": 37}}"
6,@BBCBreaking I have some mistrust of the medical profession.  The cover up was more important than the patients.,Negative,"{""id"": ""cmpl-68YdJNtwz0nk2FfyH4WLbS7vvoofl"", ""object"": ""text_completion"", ""created"": 1667497773, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\n"", ""The"", "" Canadian"", "" Press"", ""\n\n""], ""token_logprobs"": [-0.21118341, -0.0022989886, -2.8409593, -0.58854187, -2.9571104, -2.965429, -0.0019446604, -0.0017114134], ""top_logprobs"": [{"" Negative"": -0.21118341, ""\n"": -1.7377641, ""Neg"": -5.4450226, "" negative"": -6.204393, "" The"": -6.7076316}, {""<|endoftext|>"": -0.0022989886, ""."": -6.19892, ""\n"": -9.039408, "" text"": -11.2893095, "" medical"": -11.44}, {""\n"": -2.8409593, ""#"": -3.210932, ""The"": -3.4117134, ""Q"": -3.5086722, ""\"""": -3.8335032}, {""\n"": -0.58854187, ""\\"": -1.5189428, ""#"": -2.8324459, ""%"": -3.3152063, ""%%"": -4.0297203}, {""The"": -2.9571104, ""A"": -3.4698842, ""("": -3.6570878, ""\"""": -3.9302542, ""I"": -4.144781}, {"" Canadian"": -2.965429, "" following"": -3.2326705, "" product"": -4.456775, "" Associated"": -4.8373175, "" first"": -5.053108}, {"" Press"": -0.0019446604, "" Association"": -9.390252, "" government"": -9.458629, "" Broadcasting"": -10.098558, "" National"": -10.248521}, {""\n\n"": -0.0017114134, ""/"": -7.6359324, ""\n"": -7.881619, "" &"": -8.192907, "","": -9.199779}], ""text_offset"": [194, 203, 203, 203, 203, 203, 203, 203]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 42, ""completion_tokens"": 1, ""total_tokens"": 43}}"
7,I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific,Negative,"{""id"": ""cmpl-68YdXNN13mvQVz2NHowEKvxzLq9nC"", ""object"": ""text_completion"", ""created"": 1667497787, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""#"", ""include"", "" <"", ""std"", ""io"", "".""], ""token_logprobs"": [-0.20428716, -0.003971555, -2.7831101, -1.1441423, -0.6003368, -1.1518171, -0.11110001, -0.00016638411], ""top_logprobs"": [{""\n"": -1.7465292, ""Neg"": -5.740095, "" Negative"": -0.20428716, "" The"": -6.582206, "" negative"": -6.3686123}, {""."": -5.6238995, ""\n"": -8.445062, "" text"": -10.647282, ""<|endoftext|>"": -0.003971555, ""\n\n"": -10.785364}, {""\"""": -3.7738123, ""\n"": -2.7986925, ""#"": -2.7831101, ""The"": -3.728695, ""Q"": -2.963666}, {""pr"": -3.6437373, ""include"": -1.1441423, ""if"": -2.6499424, ""!/"": -1.9059181, "" -"": -3.5947366}, {""\"""": -5.466295, "" <"": -0.6003368, ""\t"": -7.309214, ""<"": -2.0646827, "" \"""": -1.1519163}, {""std"": -1.1518171, ""c"": -3.0366428, ""i"": -1.4388285, ""string"": -3.4509192, ""bits"": -1.9999654}, {""."": -4.67209, ""except"": -4.607923, ""int"": -4.257168, ""lib"": -2.7104917, ""io"": -0.11110001}, {"","": -13.107554, ""."": -0.00016638411, "">"": -9.250001, ""_"": -10.126959, ""h"": -12.173768}], ""text_offset"": [219, 228, 228, 228, 228, 228, 228, 228]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 50, ""completion_tokens"": 1, ""total_tokens"": 51}}"
8,"It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction.",Negative,"{""id"": ""cmpl-68YdmbqxXJ72tuQIglJY8dXQa8Qmr"", ""object"": ""text_completion"", ""created"": 1667497802, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\\"", ""document"", ""class"", ""["", ""12""], ""token_logprobs"": [-0.13224609, -0.0077923946, -2.6223805, -1.2734559, -0.06584161, -0.08790931, -0.16935444, -1.107371], ""top_logprobs"": [{"" Negative"": -0.13224609, ""\n"": -2.207592, ""Neg"": -5.4146347, "" negative"": -6.0695357, "" Neg"": -6.352445}, {""<|endoftext|>"": -0.0077923946, ""."": -4.958176, ""\n"": -7.7001915, ""\n\n"": -9.912913, "" text"": -10.24922}, {""\n"": -2.6223805, ""#"": -2.9270396, ""Q"": -3.2187102, ""The"": -3.669653, ""\"""": -3.7425983}, {""\\"": -1.2734559, ""\n"": -1.2956307, ""#"": -2.1039135, ""%"": -2.9599154, ""%%"": -3.5977738}, {""document"": -0.06584161, ""new"": -4.2416553, ""Requ"": -4.5774817, ""def"": -4.7473397, ""begin"": -5.108299}, {""class"": -0.08790931, ""style"": -2.482472, "" class"": -8.855606, "" style"": -9.478741, ""Class"": -10.977935}, {""["": -0.16935444, ""{"": -1.9328737, "" ["": -5.177962, ""[]"": -5.568727, "" {"": -7.7767935}, {""12"": -1.107371, ""11"": -2.21471, ""10"": -2.559923, ""a"": -2.6327093, ""use"": -3.0869493}], ""text_offset"": [179, 188, 188, 188, 188, 188, 188, 188]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 41, ""completion_tokens"": 1, ""total_tokens"": 42}}"
9,"For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.",Negative,"{""id"": ""cmpl-68Ydz3A98GSGrLodDoVGwQqdeIcFo"", ""object"": ""text_completion"", ""created"": 1667497815, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""\n"", ""\n"", ""The"", "" following"", "" is"", "" a""], ""token_logprobs"": [-0.09874794, -0.010421712, -2.8189862, -0.62848693, -3.211567, -3.2326627, -1.5622874, -0.49526474], ""top_logprobs"": [{""\n"": -2.4660404, ""Neg"": -5.6437955, "" Negative"": -0.09874794, "" The"": -7.217311, "" negative"": -6.6392665}, {""."": -4.6109586, ""\n"": -8.410038, "" text"": -10.358901, ""<|endoftext|>"": -0.010421712, ""\n\n"": -10.902766}, {""\"""": -3.802082, ""\n"": -2.8189862, ""#"": -3.1396155, ""The"": -3.6780128, ""Q"": -2.8316474}, {""%%"": -3.8509352, ""\n"": -0.62848693, ""#"": -2.688269, ""%"": -3.1706448, ""\\"": -1.5980008}, {""A"": -3.6684933, ""B"": -3.7281594, ""I"": -4.153843, ""The"": -3.211567, ""P"": -4.258994}, {""sa"": -4.988787, "" following"": -3.2326627, "" product"": -4.574227, "" Canadian"": -4.2643027, "" first"": -5.053768}, {"" list"": -3.5794392, "" questions"": -1.7570344, "" is"": -1.5622874, "" message"": -2.2826045, "" are"": -2.9958582}, {"" a"": -0.49526474, "" the"": -2.5943239, "" an"": -2.1247327, "" from"": -2.367622, "" my"": -4.65859}], ""text_offset"": [224, 233, 233, 233, 233, 233, 233, 233]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 50, ""completion_tokens"": 1, ""total_tokens"": 51}}"
10,"Lost without my Mom plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear",Negative,"{""id"": ""cmpl-68YeAkO9OLd5TYOLMb8qFQfldDsTQ"", ""object"": ""text_completion"", ""created"": 1667497826, ""model"": ""text-davinci-002"", ""choices"": [{""text"": "" Negative"", ""index"": 0, ""logprobs"": {""tokens"": ["" Negative"", ""<|endoftext|>"", ""#"", ""include"", "" <"", ""std"", ""io"", "".""], ""token_logprobs"": [-0.25307685, -0.0054661543, -2.4556692, -1.2170881, -0.63124216, -1.186665, -0.12486271, -0.00014003337], ""top_logprobs"": [{""\n"": -1.5500128, ""Neg"": -6.2846704, "" Negative"": -0.25307685, "" The"": -5.665901, "" negative"": -6.537494}, {""."": -5.2626443, ""\n"": -8.879155, "" text"": -11.106779, ""<|endoftext|>"": -0.0054661543, ""\n\n"": -11.150009}, {""\"""": -3.7302706, ""\n"": -2.503505, ""#"": -2.4556692, ""The"": -3.965626, ""Q"": -2.8158953}, {""1"": -3.9213932, ""include"": -1.2170881, ""if"": -2.9194682, ""!/"": -2.098157, "" -"": -3.7689745}, {""\"""": -5.1685896, "" <"": -0.63124216, ""\t"": -7.2921042, ""<"": -2.05353, "" \"""": -1.1089615}, {""std"": -1.186665, ""c"": -3.0081544, ""i"": -1.451238, ""string"": -3.3969102, ""bits"": -1.97819}, {""."": -4.5857506, ""except"": -4.418092, ""int"": -4.198738, ""lib"": -2.5989552, ""io"": -0.12486271}, {"","": -13.193362, ""."": -0.00014003337, "">"": -9.519039, ""_"": -10.1693535, ""h"": -11.998164}], ""text_offset"": [205, 214, 214, 214, 214, 214, 214, 214]}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 51, ""completion_tokens"": 1, ""total_tokens"": 52}}"
