stim_id,gpt3 ppl
1,"{""id"": ""cmpl-64wmKrWhnfQxkoCj7RaxPEwNKQw01"", ""object"": ""text_completion"", ""created"": 1666637276, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""It feels like an after-school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes."", ""index"": 0, ""logprobs"": {""tokens"": [""It"", "" feels"", "" like"", "" an"", "" after"", ""-"", ""school"", "" special"", "" g"", ""uss"", ""ied"", "" up"", "" with"", "" some"", "" fancy"", "" special"", "" effects"", "","", "" and"", "" watching"", "" its"", "" ro"", ""te"", "" plot"", "" points"", "" connect"", "" is"", "" about"", "" as"", "" exciting"", "" as"", "" gazing"", "" at"", "" an"", "" egg"", "" timer"", "" for"", "" 93"", "" minutes"", "".""], ""token_logprobs"": [null, -7.1440296, -0.8533129, -3.711859, -6.3529153, -1.5812992, -0.5795589, -0.4861864, -11.421128, -1.2389032, -0.0010116551, -0.020036321, -1.2470543, -2.6764243, -4.34889, -3.1943421, -0.012272764, -1.6947936, -2.397049, -8.264502, -4.769255, -7.5071006, -0.31397396, -2.4177113, -4.5968356, -9.702857, -0.68384343, -2.3130255, -0.004829046, -1.0026817, -0.0498075, -8.904469, -0.3757752, -2.869825, -5.71335, -0.112036355, -4.040288, -5.612345, -0.015971912, -0.29945222], ""top_logprobs"": [null, {""'s"": -1.6770672}, {"" like"": -0.8533129}, {"" a"": -1.8175515}, {"" eternity"": -2.3384976}, {""thought"": -0.5382445}, {""school"": -0.5795589}, {"" special"": -0.4861864}, {"",\"""": -1.6671971}, {""uss"": -1.2389032}, {""ied"": -0.0010116551}, {"" up"": -0.020036321}, {"" with"": -1.2470543}, {"" a"": -1.7479672}, {"" sex"": -2.979772}, {"" effects"": -2.8082132}, {"" effects"": -0.012272764}, {""."": -1.1106166}, {"" but"": -0.84809154}, {"" it"": -1.6771848}, {"" it"": -0.3844734}, {"" characters"": -3.089237}, {""te"": -0.31397396}, {"","": -2.226492}, {"" unfold"": -1.3400061}, {"" play"": -0.68009704}, {"" is"": -0.68384343}, {"" like"": -1.8316535}, {"" as"": -0.004829046}, {"" exciting"": -1.0026817}, {"" as"": -0.0498075}, {"" watching"": -0.7514202}, {"" at"": -0.3757752}, {"" a"": -0.79447913}, {"" assembly"": -2.7581701}, {"" timer"": -0.112036355}, {""."": -0.80177647}, {"" 90"": -1.3961784}, {"" minutes"": -0.015971912}, {""."": -0.29945222}], ""text_offset"": [0, 2, 8, 13, 16, 22, 23, 29, 37, 39, 42, 45, 48, 53, 58, 64, 72, 80, 81, 85, 94, 98, 101, 103, 108, 115, 123, 126, 132, 135, 144, 147, 154, 157, 160, 164, 170, 174, 177, 185]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 40, ""total_tokens"": 40}}"
2,"{""id"": ""cmpl-64wmKTMD59zO6k07ZWfvceDJwbVUn"", ""object"": ""text_completion"", ""created"": 1666637276, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""The film's few ideas are stretched to the point of evaporation; the whole central section is one big chase that seems to have no goal and no urgency."", ""index"": 0, ""logprobs"": {""tokens"": [""The"", "" film"", ""'s"", "" few"", "" ideas"", "" are"", "" stretched"", "" to"", "" the"", "" point"", "" of"", "" ev"", ""ap"", ""oration"", "";"", "" the"", "" whole"", "" central"", "" section"", "" is"", "" one"", "" big"", "" chase"", "" that"", "" seems"", "" to"", "" have"", "" no"", "" goal"", "" and"", "" no"", "" urgency"", "".""], ""token_logprobs"": [null, -6.7556643, -3.0620253, -9.361949, -7.889386, -0.5980596, -6.3550677, -2.1792955, -1.0671791, -1.3763171, -0.091466725, -6.5896993, -0.21673828, -0.000556755, -4.4467187, -1.3395945, -5.1491156, -9.041206, -4.7911153, -1.1123959, -3.0546663, -2.5062985, -2.7006524, -3.0599618, -3.8275344, -0.22249404, -2.7125032, -1.1206264, -4.928524, -2.710946, -1.3183959, -5.0762887, -0.60221505], ""top_logprobs"": [null, {"" first"": -4.1996894}, {"" was"": -1.655627}, {"" title"": -2.3912995}, {"" good"": -2.8564527}, {"" are"": -0.5980596}, {"" not"": -3.1530893}, {"" thin"": -1.123516}, {"" the"": -1.0671791}, {"" breaking"": -1.156767}, {"" of"": -0.091466725}, {"" breaking"": -1.74357}, {""ap"": -0.21673828}, {""oration"": -0.000556755}, {""."": -1.2855382}, {"" the"": -1.3395945}, {"" characters"": -2.4227736}, {"" thing"": -1.0097502}, {"" conce"": -1.7958335}, {"" is"": -1.1123959}, {"" a"": -1.6398748}, {"" long"": -1.0730052}, {"","": -2.1647727}, {"" scene"": -1.311634}, {"" goes"": -2.1290548}, {"" to"": -0.22249404}, {"" go"": -0.837183}, {"" been"": -0.9042625}, {"" purpose"": -0.7747586}, {""."": -1.5133815}, {"" no"": -1.3183959}, {"" point"": -1.6577469}, {""."": -0.60221505}], ""text_offset"": [0, 3, 8, 10, 14, 20, 24, 34, 37, 41, 47, 50, 53, 55, 62, 63, 67, 73, 81, 89, 92, 96, 100, 106, 111, 117, 120, 125, 128, 133, 137, 140, 148]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 33, ""total_tokens"": 33}}"
3,"{""id"": ""cmpl-64wmKEwx89pklxyNCjprtKrrpBKCa"", ""object"": ""text_completion"", ""created"": 1666637276, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""I feel exhausted ...I tried to do a good job, but apparently God does not see me right. I'm weary! I EXIST! #exist #weary #misonorotta"", ""index"": 0, ""logprobs"": {""tokens"": [""I"", "" feel"", "" exhausted"", "" ..."", ""I"", "" tried"", "" to"", "" do"", "" a"", "" good"", "" job"", "","", "" but"", "" apparently"", "" God"", "" does"", "" not"", "" see"", "" me"", "" right"", ""."", "" I"", ""'m"", "" weary"", ""!"", "" I"", "" EX"", ""IST"", ""!"", "" #"", ""exist"", "" #"", ""wear"", ""y"", "" #"", ""m"", ""ison"", ""or"", ""otta""], ""token_logprobs"": [null, -6.91126, -7.431122, -9.196863, -5.1684446, -6.351114, -0.5733987, -2.928535, -2.0436532, -3.7830107, -0.547453, -2.1779776, -0.3627281, -5.94242, -8.863957, -3.5546813, -0.016303493, -4.2093754, -2.936938, -5.836497, -1.5689903, -1.7977427, -2.8608317, -8.925401, -6.296262, -2.1582355, -13.202578, -2.448541, -1.2524734, -5.7939024, -4.0779, -1.9151957, -1.9453259, -0.047267653, -0.21852854, -6.24256, -10.733264, -7.5665207, -12.868849], ""top_logprobs"": [null, {""'m"": -1.529465}, {"" like"": -1.1045625}, {""\n"": -1.4642701}, {""\n"": -0.624353}, {"" feel"": -2.1216285}, {"" to"": -0.5733987}, {"" sleep"": -2.0235343}, {"" my"": -1.9447565}, {"" lot"": -1.279988}, {"" job"": -0.547453}, {"" but"": -1.6295186}, {"" but"": -0.3627281}, {"" I"": -0.7889863}, {"" it"": -0.9302665}, {"" has"": -2.100305}, {"" not"": -0.016303493}, {"" want"": -0.50589037}, {"" it"": -0.30210873}, {"" as"": -1.607714}, {"" now"": -1.2259595}, {""\n"": -0.88923633}, {"" am"": -2.499577}, {"" tired"": -1.8265041}, {"" of"": -0.9474546}, {""\n"": -0.69597286}, {""'m"": -2.1765654}, {""HA"": -0.34037992}, {""!"": -1.2524734}, {"" I"": -1.4218601}, {""I"": -3.831144}, {""ential"": -0.86234313}, {""wear"": -1.9453259}, {""y"": -0.047267653}, {"" #"": -0.21852854}, {""ex"": -1.2932428}, {""ood"": -0.723312}, {""o"": -0.57252926}, {"" #"": -2.2837029}], ""text_offset"": [0, 1, 6, 16, 20, 21, 27, 30, 33, 35, 40, 44, 45, 49, 60, 64, 69, 73, 77, 80, 86, 87, 89, 91, 97, 98, 100, 103, 106, 107, 109, 114, 116, 120, 121, 123, 124, 128, 130]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 39, ""total_tokens"": 39}}"
4,"{""id"": ""cmpl-64wmMBJpaooNEEWfw1xzx0mWnI8Cb"", ""object"": ""text_completion"", ""created"": 1666637278, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""The movie, directed by Mick Jackson, leaves no cliche unturned, from the predictable plot to the characters straight out of central casting."", ""index"": 0, ""logprobs"": {""tokens"": [""The"", "" movie"", "","", "" directed"", "" by"", "" Mick"", "" Jackson"", "","", "" leaves"", "" no"", "" cl"", ""iche"", "" unt"", ""urned"", "","", "" from"", "" the"", "" predictable"", "" plot"", "" to"", "" the"", "" characters"", "" straight"", "" out"", "" of"", "" central"", "" casting"", "".""], ""token_logprobs"": [null, -7.0843077, -3.5220351, -3.250461, -0.020883413, -9.61787, -0.41490346, -0.51566905, -10.549806, -2.2636433, -6.3374434, -0.11851718, -1.0077122, -0.013858267, -1.82902, -1.9162749, -0.4233783, -5.8756866, -3.078773, -0.97845185, -0.14398795, -5.718013, -6.057188, -0.21294616, -0.0058880425, -1.1704504, -0.0023854964, -0.40455464], ""top_logprobs"": [null, {"" first"": -4.1994243}, {"" is"": -1.7810518}, {"" which"": -1.1816906}, {"" by"": -0.020883413}, {"" Paul"": -3.4955025}, {"" Jackson"": -0.41490346}, {"","": -0.51566905}, {"" is"": -1.524364}, {"" out"": -1.6673725}, {"" stone"": -1.4590076}, {""iche"": -0.11851718}, {"" unt"": -1.0077122}, {""urned"": -0.013858267}, {""."": -0.9438203}, {"" from"": -1.9162749}, {"" the"": -0.4233783}, {"" slow"": -4.247043}, {"" plot"": -3.078773}, {"" to"": -0.97845185}, {"" the"": -0.14398795}, {"" predictable"": -3.5484765}, {"" who"": -1.8952298}, {"" out"": -0.21294616}, {"" of"": -0.0058880425}, {"" central"": -1.1704504}, {"" casting"": -0.0023854964}, {""."": -0.40455464}], ""text_offset"": [0, 3, 9, 10, 19, 22, 27, 35, 36, 43, 46, 49, 53, 57, 62, 63, 68, 72, 84, 89, 92, 96, 107, 116, 120, 123, 131, 139]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 28, ""total_tokens"": 28}}"
5,"{""id"": ""cmpl-64wmMhE9cJ167KtvGg2uwzjCtb3NG"", ""object"": ""text_completion"", ""created"": 1666637278, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Some 'friends' get bitter when it seems your life is moving better than theirs."", ""index"": 0, ""logprobs"": {""tokens"": [""Some"", "" '"", ""friends"", ""'"", "" get"", "" bitter"", "" when"", "" it"", "" seems"", "" your"", "" life"", "" is"", "" moving"", "" better"", "" than"", "" theirs"", "".""], ""token_logprobs"": [null, -8.873823, -8.085459, -0.071716815, -6.7730484, -6.888901, -0.82495046, -5.8958416, -3.5791013, -5.573384, -0.27459103, -0.0838012, -4.539258, -5.838858, -0.16759463, -0.10051361, -0.4951284], ""top_logprobs"": [null, {"" of"": -2.7745774}, {"" +"": -2.7578592}, {""'"": -0.071716815}, {"" of"": -1.6736809}, {"" together"": -2.2990718}, {"" when"": -0.82495046}, {"" you"": -0.6608251}, {""'s"": -0.95428914}, {"" like"": -0.560633}, {"" life"": -0.27459103}, {"" is"": -0.0838012}, {"" going"": -1.0132538}, {"" on"": -0.80269724}, {"" than"": -0.16759463}, {"" theirs"": -0.10051361}, {""."": -0.4951284}], ""text_offset"": [0, 4, 6, 13, 14, 18, 25, 30, 33, 39, 44, 49, 52, 59, 66, 71, 78]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 17, ""total_tokens"": 17}}"
6,"{""id"": ""cmpl-64wmNY0Z9rHcSyYG6tQ40TUiMf2K0"", ""object"": ""text_completion"", ""created"": 1666637279, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""@BBCBreaking I have some mistrust of the medical profession.\u00a0 The cover up was more important than the patients."", ""index"": 0, ""logprobs"": {""tokens"": [""@"", ""BBC"", ""Breaking"", "" I"", "" have"", "" some"", "" mistrust"", "" of"", "" the"", "" medical"", "" profession"", ""."", ""\u00a0"", "" The"", "" cover"", "" up"", "" was"", "" more"", "" important"", "" than"", "" the"", "" patients"", "".""], ""token_logprobs"": [null, -14.499247, -3.294771, -3.5977244, -3.505739, -4.7189283, -13.415957, -1.097186, -1.262814, -8.368231, -0.55122167, -1.5062208, -13.343115, -4.3173275, -8.227555, -1.0529666, -5.618516, -5.252278, -2.3954144, -0.3717907, -0.6828645, -4.1457624, -0.70506966], ""top_logprobs"": [null, {""Override"": -1.8468685}, {""News"": -1.8996444}, {"":"": -2.0622604}, {""'m"": -1.9288195}, {"" a"": -1.8493751}, {"" good"": -2.9251559}, {"" of"": -1.097186}, {"" the"": -1.262814}, {"" BBC"": -1.8411965}, {"" profession"": -0.55122167}, {""."": -1.5062208}, {"" I"": -1.7110103}, {"" I"": -1.9405922}, {"" last"": -3.1852932}, {"" up"": -1.0529666}, {"" of"": -0.3831417}, {"" so"": -2.4539285}, {"" than"": -1.7136831}, {"" than"": -0.3717907}, {"" the"": -0.6828645}, {"" truth"": -1.3542056}, {""."": -0.70506966}], ""text_offset"": [0, 1, 4, 12, 14, 19, 24, 33, 36, 40, 48, 59, 60, 61, 65, 71, 74, 78, 83, 93, 98, 102, 111]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 23, ""total_tokens"": 23}}"
7,"{""id"": ""cmpl-64wmONixIEqpF5ieh2xN3zuCUDTWu"", ""object"": ""text_completion"", ""created"": 1666637280, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""I have actually watch drugs destroy an entire family Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific"", ""index"": 0, ""logprobs"": {""tokens"": [""I"", "" have"", "" actually"", "" watch"", "" drugs"", "" destroy"", "" an"", "" entire"", "" family"", "" Mother"", ""'s"", "" on"", "" sk"", ""id"", "" row"", ""."", "" Old"", ""est"", "" daughter"", "" lost"", "" her"", "" child"", ""."", "" Father"", "" is"", "" estranged"", ""."", "" #"", ""hor"", ""r"", ""ific""], ""token_logprobs"": [null, -4.2082577, -7.558076, -9.997923, -12.553344, -5.410673, -5.2478876, -0.39377978, -0.62476236, -14.3684845, -4.5767894, -7.172039, -10.653577, -0.3941267, -0.17606542, -2.9724643, -8.811798, -1.2171296, -1.8566732, -6.6717024, -1.0569408, -4.8178873, -2.5886664, -3.5131328, -2.0368965, -5.313707, -1.1030525, -9.629945, -8.03472, -2.1867185, -0.36873385], ""top_logprobs"": [null, {""'m"": -1.5297452}, {"" a"": -1.3979187}, {"" been"": -2.08784}, {"" the"": -1.8430136}, {"" and"": -2.4398227}, {"" people"": -1.5104682}, {"" entire"": -0.39377978}, {"" family"": -0.62476236}, {""."": -0.8507774}, {"","": -0.9236742}, {"","": -2.0296144}, {"" drugs"": -1.0243396}, {""id"": -0.3941267}, {"" row"": -0.17606542}, {"","": -2.569066}, {""\n"": -1.3201075}, {""est"": -1.2171296}, {"" son"": -1.0149678}, {"" is"": -1.8538303}, {"" her"": -1.0569408}, {"" life"": -2.0114372}, {"" to"": -1.2832832}, {"" Mother"": -3.0224473}, {"" is"": -2.0368965}, {"" in"": -1.8615631}, {"" from"": -1.0357536}, {"" Young"": -2.1168914}, {""drug"": -3.1755817}, {""ror"": -0.65579367}, {""ific"": -0.36873385}], ""text_offset"": [0, 1, 6, 15, 21, 27, 35, 38, 45, 52, 59, 61, 64, 67, 69, 73, 74, 78, 81, 90, 95, 99, 105, 106, 113, 116, 126, 127, 129, 132, 133]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 31, ""total_tokens"": 31}}"
8,"{""id"": ""cmpl-64wmOTIYHXyHduAKCQAzEhB6xPufJ"", ""object"": ""text_completion"", ""created"": 1666637280, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""It's so mediocre, despite the dynamic duo on the marquee, that we just can't get no satisfaction."", ""index"": 0, ""logprobs"": {""tokens"": [""It"", ""'s"", "" so"", "" mediocre"", "","", "" despite"", "" the"", "" dynamic"", "" duo"", "" on"", "" the"", "" marquee"", "","", "" that"", "" we"", "" just"", "" can"", ""'t"", "" get"", "" no"", "" satisfaction"", "".""], ""token_logprobs"": [null, -1.6767915, -4.1583037, -12.802867, -1.7982205, -8.484978, -1.3190091, -10.037455, -4.2473598, -3.9196613, -0.6815455, -5.1447363, -1.5267419, -0.290488, -4.6114345, -5.594091, -1.210176, -0.008105096, -3.708149, -8.074744, -0.19022404, -0.43817663], ""top_logprobs"": [null, {""'s"": -1.6767915}, {"" a"": -1.8172798}, {"" easy"": -2.5915375}, {"","": -1.7982205}, {"" it"": -1.2358286}, {"" the"": -1.3190091}, {"" fact"": -2.7736773}, {"" between"": -3.0146656}, {"" of"": -0.8313975}, {"" the"": -0.6815455}, {"" cover"": -1.6201077}, {""."": -0.6040611}, {"" that"": -0.290488}, {"" it"": -0.86145407}, {"" can"": -1.7110101}, {"" can"": -1.210176}, {""'t"": -0.008105096}, {"" recommend"": -0.52170366}, {"" excited"": -1.2075577}, {"" satisfaction"": -0.19022404}, {""."": -0.43817663}], ""text_offset"": [0, 2, 4, 7, 16, 17, 25, 29, 37, 41, 44, 48, 56, 57, 62, 65, 70, 74, 76, 80, 83, 96]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 22, ""total_tokens"": 22}}"
9,"{""id"": ""cmpl-64wmOjiXt24gF6b7dyxhFZyb6Pwqw"", ""object"": ""text_completion"", ""created"": 1666637280, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""For all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution."", ""index"": 0, ""logprobs"": {""tokens"": [""For"", "" all"", "" the"", "" wr"", ""ithing"", "" and"", "" w"", ""ailing"", "","", "" tears"", "","", "" rage"", "" and"", "" opium"", "" overdoses"", "","", "" there"", ""'s"", "" no"", "" sense"", "" of"", "" actual"", "" passion"", "" being"", "" washed"", "" away"", "" in"", "" love"", ""'s"", "" dissolution"", "".""], ""token_logprobs"": [null, -4.9490085, -1.5265933, -10.751562, -4.2184, -1.0959846, -3.381791, -0.026091399, -1.3535948, -9.683183, -3.069192, -6.737705, -0.83243656, -13.124338, -5.946709, -0.43327036, -3.248734, -1.9661849, -2.2187688, -3.6121185, -0.6405992, -3.9457989, -4.005484, -5.873882, -10.32543, -0.8100724, -1.4281034, -7.879929, -0.21517974, -6.2311015, -0.41561183], ""top_logprobs"": [null, {"" more"": -2.2224746}, {"" the"": -1.5265933}, {"" latest"": -1.8738596}, {""angling"": -0.27290824}, {"" and"": -1.0959846}, {"" squ"": -2.2451355}, {""ailing"": -0.026091399}, {"","": -1.3535948}, {"" the"": -1.6538773}, {"" and"": -0.19725908}, {"" and"": -1.6148695}, {"","": -0.62780946}, {"" fear"": -3.4239006}, {"","": -1.1910232}, {"","": -0.43327036}, {"" the"": -1.7167888}, {"" is"": -1.1850102}, {"" a"": -1.5232522}, {"" denying"": -1.7050829}, {"" of"": -0.6405992}, {"" the"": -2.3733056}, {"" pain"": -1.8803171}, {"" in"": -1.2021729}, {"" expressed"": -1.529053}, {"" away"": -0.8100724}, {"" by"": -1.373784}, {"" the"": -0.94920987}, {""'s"": -0.21517974}, {"" tide"": -2.1495185}, {""."": -0.41561183}], ""text_offset"": [0, 3, 7, 11, 14, 20, 24, 26, 32, 33, 39, 40, 45, 49, 55, 65, 66, 72, 74, 77, 83, 86, 93, 101, 107, 114, 119, 122, 127, 129, 141]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 31, ""total_tokens"": 31}}"
10,"{""id"": ""cmpl-64wmOeCMjRkdWoR6JoljV0SeRjUEM"", ""object"": ""text_completion"", ""created"": 1666637280, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Lost without my Mom\u00a0plus tired, sick and full of cold is just another day in paradise..... #upset #unwell #missyoumommybear"", ""index"": 0, ""logprobs"": {""tokens"": [""Lost"", "" without"", "" my"", "" Mom"", ""\u00a0"", ""plus"", "" tired"", "","", "" sick"", "" and"", "" full"", "" of"", "" cold"", "" is"", "" just"", "" another"", "" day"", "" in"", "" paradise"", ""....."", "" #"", ""ups"", ""et"", "" #"", ""un"", ""well"", "" #"", ""miss"", ""you"", ""mom"", ""my"", ""bear""], ""token_logprobs"": [null, -8.782318, -3.6350186, -7.657239, -16.361237, -13.297791, -10.3473015, -2.5806773, -4.3532047, -1.3608276, -6.534411, -0.32617095, -5.1877456, -5.457654, -3.7016025, -6.800276, -1.668964, -1.5349065, -4.1840367, -7.8790092, -5.270485, -8.77378, -0.85858774, -0.41734755, -4.732597, -2.593293, -0.15571512, -5.3028884, -3.7332644, -0.44414163, -3.6908028, -13.042043], ""top_logprobs"": [null, {"" ="": -2.8467958}, {"" you"": -1.3727351}, {"" phone"": -2.459026}, {""\n"": -0.4554314}, {""\n"": -0.33023852}, {""\n"": -1.4518722}, {""\n"": -1.4353521}, {"" hungry"": -1.8552198}, {"","": -0.5237236}, {"" hungry"": -1.2736363}, {"" of"": -0.32617095}, {""\u00a0"": -2.9592237}, {""\n"": -1.1421386}, {"" not"": -1.213216}, {"" too"": -1.4985555}, {"" way"": -0.93959117}, {"" for"": -1.35456}, {"" the"": -0.53325886}, {""."": -1.1229123}, {""\n"": -0.78574806}, {""s"": -2.647411}, {""et"": -0.85858774}, {"" #"": -0.41734755}, {""s"": -1.5708616}, {""happy"": -0.21410643}, {"" #"": -0.15571512}, {""s"": -2.0150588}, {""my"": -0.25164643}, {""mom"": -0.44414163}, {"" #"": -1.0028187}, {"" #"": -0.72374994}], ""text_offset"": [0, 4, 12, 15, 19, 20, 24, 30, 31, 36, 40, 45, 48, 53, 56, 61, 69, 73, 76, 85, 90, 92, 95, 97, 99, 101, 105, 107, 111, 114, 117, 119]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 32, ""total_tokens"": 32}}"
