Metric for Saliency,Data aggregation (eye-tracking only),Experimental Conditions,,,,
Baseline,NA,NA, 95.18 ( 0.00), 93.98 ( 1.18), 93.98 ( 2.46), 96.39 ( 1.52)
Human Annotations,NA,NA, 95.18 ( 0.00), 93.98 ( 2.46), 90.36 ( 0.96), 95.18 ( 0.96)
Integrated Gradients,NA,NA, 93.98 ( 0.00), 91.57 ( 2.89), 90.36 ( 3.27), 93.98 ( 1.80)
GPT2 Surprisal,NA,NA, 93.98 ( 0.00), 93.98 ( 1.93), 92.77 ( 2.46), 96.39 ( 0.96)
Dwell Time,z_score,All, 93.98 ( 0.00), 92.77 ( 0.96), 92.77 ( 0.96), 97.59 ( 1.18)
Dwell Time,z_score,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 1.18), 91.57 ( 1.93), 95.18 ( 2.36)
Dwell Time,LME,All, 93.98 ( 0.00), 92.77 ( 1.80), 93.98 ( 0.96), 96.39 ( 2.89)
Dwell Time,LME,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 1.80), 89.16 ( 2.89), 95.18 ( 2.46)
Dwell Time,raw,All, 93.98 ( 0.00), 92.77 ( 0.96), 92.77 ( 0.96), 97.59 ( 1.18)
Dwell Time,raw,Incongruent - Congruent, 93.98 ( 0.00), 93.98 ( 2.36), 90.36 ( 2.36), 97.59 ( 2.16)
Reread Time ,z_score,All, 93.98 ( 0.00), 93.98 ( 1.18), 95.18 ( 1.93), 96.39 ( 1.80)
Reread Time ,z_score,Incongruent - Congruent, 92.77 ( 0.00), 92.77 ( 2.46), 86.75 ( 2.81), 96.39 ( 1.80)
Reread Time ,raw,All, 93.98 ( 0.00), 92.77 ( 0.96), 92.77 ( 0.96), 97.59 ( 1.18)
Reread Time ,raw,Incongruent - Congruent, 93.98 ( 0.00), 91.57 ( 2.89), 87.95 ( 3.86), 92.77 ( 2.46)
Go Past Time,z_score,All, 93.98 ( 0.00), 92.77 ( 1.18), 91.57 ( 2.46), 93.98 ( 2.81)
Go Past Time,z_score,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 3.27), 90.36 ( 3.20), 93.98 ( 2.46)
Go Past Time,raw,All, 93.98 ( 0.00), 92.77 ( 0.96), 92.77 ( 0.96), 97.59 ( 1.18)
Go Past Time,raw,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 2.46), 92.77 ( 1.18), 92.77 ( 2.46)
First Run Dwell Time,z_score,All, 92.77 ( 0.00), 92.77 ( 0.96), 91.57 ( 2.46), 96.39 ( 1.18)
First Run Dwell Time,z_score,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 1.80), 89.16 ( 3.54), 93.98 ( 2.46)
First Run Dwell Time,raw,All, 93.98 ( 0.00), 92.77 ( 0.96), 92.77 ( 0.96), 97.59 ( 1.18)
First Run Dwell Time,raw,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 2.46), 89.16 ( 3.54), 93.98 ( 2.46)
First Run Dwell Time,LME,All, 93.98 ( 0.00), 92.77 ( 1.18), 92.77 ( 2.46), 96.39 ( 2.36)
First Run Dwell Time,LME,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 2.46), 90.36 ( 0.96), 95.18 ( 2.46)
First Fixation Duration,z_score,All, 93.98 ( 0.00), 92.77 ( 1.93), 92.77 ( 2.36), 95.18 ( 2.46)
First Fixation Duration,z_score,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 2.81), 90.36 ( 3.27), 95.18 ( 1.93)
First Fixation Duration,raw,All, 93.98 ( 0.00), 92.77 ( 0.96), 92.77 ( 0.96), 97.59 ( 1.18)
First Fixation Duration,raw,Incongruent - Congruent, 92.77 ( 0.00), 93.98 ( 2.46), 86.75 ( 4.31), 93.98 ( 1.80)
Pupil Size,z_score,All, 93.98 ( 0.00), 93.98 ( 2.64), 89.16 ( 1.80), 96.39 ( 0.96)
Pupil Size,z_score,Incongruent - Congruent, 93.98 ( 0.00), 91.57 ( 1.93), 86.75 ( 4.03), 96.39 ( 2.46)
Pupil Size,raw,All, 93.98 ( 0.00), 92.77 ( 0.96), 92.77 ( 0.96), 97.59 ( 1.18)
Pupil Size,raw,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 2.16), 86.75 ( 4.03), 96.39 ( 2.46)
Pupil Size,LME,All, 93.98 ( 0.00), 92.77 ( 1.18), 92.77 ( 1.80), 95.18 ( 2.81)
Pupil Size,LME,Incongruent - Congruent, 93.98 ( 0.00), 92.77 ( 4.15), 93.98 ( 3.05), 96.39 ( 1.18)
Hybrid (Human + Dwell Time),z_score,All, 93.98 ( 0.00), 91.57 ( 2.46), 95.18 ( 2.36), 92.77 ( 1.18)
Hybrid (Human + Dwell Time),z_score,Incongruent - Congruent, 95.18 ( 0.00), 93.98 ( 3.41), 93.98 ( 1.52), 93.98 ( 2.46)
