Metric for Saliency,Data aggregation (eye-tracking only),Experimental Conditions,,,,
Baseline,NA,NA,95.18, 93.98 (2.46), 90.36 (0.96), 95.18 (0.96)
Human Annotations,NA,NA,93.98, 91.57 (2.89), 90.36 (3.27), 93.98 (1.80)
Integrated Gradients,NA,NA,93.98, 93.98 (1.93), 92.77 (2.46), 96.39 (0.96)
GPT2 Surprisal,NA,NA,93.98, 92.77 (0.96), 92.77 (0.96), 97.59 (1.18)
Dwell Time,z_score,All,93.98, 92.77 (1.80), 93.98 (0.96), 96.39 (2.89)
Dwell Time,z_score,Incongruent - Congruent,93.98,Ê93.98 (1.93),Ê91.57 (1.93),Ê95.18 (2.36)
Dwell Time,LME,All,93.98, 92.77 (0.96), 92.77 (0.96), 97.59 (1.18)
Dwell Time,LME,Incongruent - Congruent,93.98,Ê92.77 (1.18),Ê91.57 (1.93),Ê95.18 (2.36)
Dwell Time,raw,All,93.98, 93.98 (1.18), 95.18 (1.93), 96.39 (1.80)
Dwell Time,raw,Incongruent - Congruent,93.98,Ê92.77 (1.80),Ê89.16 (2.89),Ê95.18 (2.46)
Reread Time ,z_score,All,93.98, 92.77 (0.96), 92.77 (0.96), 97.59 (1.18)
Reread Time ,z_score,Incongruent - Congruent,93.98,Ê93.98 (2.36),Ê90.36 (2.36),Ê97.59 (2.16)
Reread Time ,raw,All,93.98, 92.77 (1.18), 91.57 (2.46), 93.98 (2.81)
Reread Time ,raw,Incongruent - Congruent,92.77,Ê92.77 (2.46),Ê86.75 (2.81),Ê96.39 (1.80)
Go Past Time,z_score,All,93.98, 92.77 (0.96), 92.77 (0.96), 97.59 (1.18)
Go Past Time,z_score,Incongruent - Congruent,93.98,Ê91.57 (2.89),Ê87.95 (3.86),Ê92.77 (2.46)
Go Past Time,raw,All,92.77, 92.77 (0.96), 91.57 (2.46), 96.39 (1.18)
Go Past Time,raw,Incongruent - Congruent,93.98,Ê92.77 (3.27),Ê90.36 (3.20),Ê93.98 (2.46)
First Run Dwell Time,z_score,All,93.98, 92.77 (0.96), 92.77 (0.96), 97.59 (1.18)
First Run Dwell Time,z_score,Incongruent - Congruent,93.98,Ê92.77 (2.46),Ê92.77 (1.18),Ê92.77 (2.46)
First Run Dwell Time,raw,All,93.98, 92.77 (1.18), 92.77 (2.46), 96.39 (2.36)
First Run Dwell Time,raw,Incongruent - Congruent,93.98,Ê92.77 (1.80),Ê89.16 (3.54),Ê93.98 (2.46)
First Run Dwell Time,LME,All,93.98, 92.77 (1.93), 92.77 (2.36), 95.18 (2.46)
First Run Dwell Time,LME,Incongruent - Congruent,93.98,Ê92.77 (2.46),Ê89.16 (3.54),Ê93.98 (2.46)
First Fixation Duration,z_score,All,93.98, 92.77 (0.96), 92.77 (0.96), 97.59 (1.18)
First Fixation Duration,z_score,Incongruent - Congruent,93.98,Ê92.77 (2.46),Ê90.36 (0.96),Ê95.18 (2.46)
First Fixation Duration,raw,All,93.98, 93.98 (2.64), 89.16 (1.80), 96.39 (0.96)
First Fixation Duration,raw,Incongruent - Congruent,93.98,Ê92.77 (2.81),Ê90.36 (3.27),Ê95.18 (1.93)
Pupil Size,z_score,All,93.98, 92.77 (0.96), 92.77 (0.96), 97.59 (1.18)
Pupil Size,z_score,Incongruent - Congruent,92.77,Ê93.98 (2.46),Ê86.75 (4.31),Ê93.98 (1.80)
Pupil Size,raw,All,93.98, 92.77 (1.18), 92.77 (1.80), 95.18 (2.81)
Pupil Size,raw,Incongruent - Congruent,93.98,Ê91.57 (1.93),Ê86.75 (4.03),Ê96.39 (2.46)
Pupil Size,LME,All,93.98, 91.57 (2.46), 95.18 (2.36), 92.77 (1.18)
Pupil Size,LME,Incongruent - Congruent,93.98,Ê92.77 (2.16),Ê86.75 (4.03),Ê96.39 (2.46)
Hybrid (Human + Dwell Time),z_score,All,95.18, 93.98 (1.18), 93.98 (2.46), 96.39 (1.52)
Hybrid (Human + Dwell Time),z_score,Incongruent - Congruent,93.98,Ê92.77 (4.15),Ê93.98 (3.05),Ê96.39 (1.18)
