dwell time,first fixation duration,first run dwell time,last run dwell time,regressions out,cptm,ppl,hb
better,use,actual,edit,better,use,one,better
would,actual,need,need,using,question,edit,would
need,need,edit,one,edit,one,please,done
done,using,use,like,would,better,actual,use
edit,edit,using,actual,big,would,use,one
time,like,like,better,use,time,using,great
like,one,time,using,like,great,need,edit
using,time,big,use,need,done,better,actual
one,would,one,big,done, ,time,time
use,done,done,time,time, ,like,question
actual,better,would,done,question, ,big, 
question,question,better,would,actual, ,done, 
big,big,question,question,one, ,would, 
