dwell time,first fixation duration,first run dwell time,last run dwell time,regressions out,cptm,ppl,hb
come,sorry,said,sorry,thanks,sorry,post,come
page,said,sorry,work,thank,work,use,good
sorry,see,see,said,come,page,sorry,-
work,love,come,post,work,love,said,fine
thanks,post,really,page,said,think,page,work
said,come,post,see,good,-,,post
love,work,work,come,really,post,see,see
use,really,good,i'm,page,said,really,use
post,good,thanks,thanks,hey,fine,work,sorry
fine,thank,i'm,thank,post,thanks,come,think
would,think,page,fine,love,i'm,love,hey
really,thanks,hey,good,see,good,thank,said
hey,page,fine,happy,sorry,thank,write,thank
happy,hey,think,really,happy,happy,think,really
good,i'm,thank,hey,fine,come,i'm,page
see,fine,love,love,i'm,would,fine,i'm
i'm,happy,happy,-,-,hey,thanks,love
-,-,-,would,would, ,hey,thanks
thank,would,would,think,think, ,good,would
think,use,use,use,use, ,-,happy
