,Word,Length,HAL FREQ,HAL LOG FREG
1,label,5,"22,957",10.041
9,angels,6,"7,176",8.878
9,balances,8,"1,250",7.131
9,candid,6,647,6.472
9,casting,7,"6,743",8.816
9,casual,6,"5,053",8.528
9,characters,10,"52,284",10.864
9,cliche,6,"1,374",7.225
9,comfortable,11,"16,317",9.7
9,deftly,6,218,5.384
9,departure,9,"3,732",8.225
9,designed,8,"43,004",10.669
9,directed,8,"17,588",9.775
9,document,8,"57,743",10.964
9,efforts,7,"22,086",10.003
9,fans,4,"31,621",10.362
9,fly,3,"29,393",10.289
9,franchise,9,"2,376",7.773
9,French,6,"36,635",10.509
9,grasp,5,"5,765",8.66
9,handful,7,"4,069",8.311
9,here's,6,"47,840",10.776
9,hopeless,8,"1,974",7.588
9,horror,6,"12,795",9.457
9,howlers,7,94,4.543
9,Jackson,7,"15,948",9.677
9,leaves,6,"19,852",9.896
9,lets,4,"23,648",10.071
9,makers,6,"6,639",8.801
9,mick,4,"2,626",7.873
9,mix,3,"19,759",9.891
9,mucking,7,437,6.08
9,noblest,7,79,4.369
9,numerous,8,"18,429",9.822
9,others,6,"169,716",12.042
9,part,4,"249,067",12.425
9,predictable,11,"2,623",7.872
9,prevalent,9,"1,828",7.511
9,provide,7,"102,813",11.541
9,provokes,8,233,5.451
9,redeem,6,662,6.495
9,reflection,10,"4,507",8.413
9,refreshing,10,"1,837",7.516
9,reveals,7,"3,526",8.168
9,rumor,5,"6,853",8.832
9,rural,5,"6,485",8.777
9,sentimentality,14,144,4.97
9,sleep,5,"25,606",10.151
9,smiles,6,"2,487",7.819
9,storyline,9,"3,350",8.117
9,straight,8,"42,466",10.656
9,studio,6,"15,767",9.666
9,sudsy,5,23,3.135
9,supernatural,12,"2,107",7.653
9,technique,9,"17,147",9.75
9,tub,3,"2,579",7.855
9,used,4,"365,662",12.809
9,visible,7,"12,546",9.437
9,wall,4,"91,869",11.428
9,yawns,5,87,4.466
9,yet,3,"159,994",11.983
10,acceptable,10,"16,372",9.703
10,achieve,7,"15,544",9.651
10,actually,8,"196,457",12.188
10,adding,6,"24,066",10.089
10,African,7,"11,473",9.348
10,again,5,"249,680",12.428
10,against,7,"172,615",12.059
10,Alexis,6,"1,464",7.289
10,already,7,"146,289",11.893
10,although,8,"109,965",11.608
10,amazing,7,"25,096",10.13
10,among,5,"60,232",11.006
10,angel,5,"18,184",9.808
10,answered,8,"17,937",9.795
10,anything,8,"214,704",12.277
10,around,6,"268,131",12.499
10,arsehole,8,210,5.347
10,article,7,"861,595",13.667
10,arts,4,"22,653",10.028
10,audacious,9,87,4.466
10,auntie,6,402,5.996
10,away,4,"150,815",11.924
10,awe,3,"2,711",7.905
10,back,4,"393,090",12.882
10,bad,3,"153,580",11.942
10,based,5,"131,502",11.787
10,beautifully,11,"2,426",7.794
10,because,7,"503,563",13.129
10,behold,6,"2,568",7.851
10,best,4,"269,708",12.505
10,beyond,6,"43,775",10.687
10,birthday,8,"8,557",9.055
10,bites,5,"2,886",7.968
10,blessed,7,"5,749",8.657
10,blue,4,"89,005",11.396
10,boiling,7,"3,078",8.032
10,bored,5,"7,024",8.857
10,brilliant,9,"7,731",8.953
10,broken,6,"25,599",10.15
10,bullying,8,410,6.016
10,bumper,6,"2,465",7.81
10,bye,3,"8,945",9.099
10,calling,7,"37,999",10.545
10,can't,5,"275,909",12.528
10,cancel,6,"20,643",9.935
10,capture,7,"10,098",9.22
10,care,4,"104,469",11.557
10,case,4,"199,506",12.204
10,certifications,14,500,6.215
10,challenge,9,"20,677",9.937
10,chance,6,"58,965",10.985
10,chase,5,"9,066",9.112
10,chiefly,7,598,6.394
10,child,5,"64,729",11.078
10,chocolate,9,"9,520",9.161
10,claim,5,"56,597",10.944
10,claiming,8,"11,561",9.355
10,cold,4,"34,854",10.459
10,college,7,"77,818",11.262
10,colored,7,"4,997",8.517
10,colorful,8,"2,462",7.809
10,comes,5,"103,585",11.548
10,comfortably,11,"1,923",7.562
10,compose,7,"2,629",7.874
10,concoction,10,316,5.756
10,confirming,10,"1,319",7.185
10,considered,10,"59,118",10.987
10,constructed,11,"19,640",9.885
10,contemporary,12,"7,606",8.937
10,conversation,12,"16,064",9.684
10,conversion,10,"19,159",9.861
10,convert,7,"21,237",9.964
10,correctly,9,"28,488",10.257
10,cover,5,"64,134",11.069
10,crap,4,"21,328",9.968
10,credible,8,"3,113",8.043
10,crime,5,"33,496",10.419
10,critical,8,"20,425",9.925
10,crying,6,"6,878",8.836
10,cute,4,"11,008",9.306
10,dark,4,"71,249",11.174
10,data,4,"203,945",12.226
10,date,4,"136,274",11.822
10,daughter,8,"19,485",9.877
10,dear,4,"29,554",10.294
10,decision,8,"36,601",10.508
10,decline,7,"6,068",8.711
10,deeply,6,"7,942",8.98
10,delayed,7,"4,977",8.513
10,deletion,8,958,6.865
10,delicious,9,"2,481",7.816
10,delight,7,"3,207",8.073
10,delta,5,"7,338",8.901
10,densely,7,314,5.749
10,depression,10,"7,691",8.948
10,described,9,"31,649",10.362
10,describes,9,"11,727",9.37
10,design,6,"110,689",11.614
10,despite,7,"26,140",10.171
10,destroy,7,"17,424",9.766
10,detriment,9,734,6.599
10,did,3,"382,593",12.855
10,disappointing,13,"2,057",7.629
10,discs,5,"5,835",8.672
10,dishonest,9,"3,174",8.063
10,disservice,10,724,6.585
10,dissolution,11,707,6.561
10,distance,8,"29,802",10.302
10,DNA,3,"22,060",10.002
10,doing,5,"166,241",12.021
10,Don,3,"27,135",10.209
10,don't,5,"882,900",13.691
10,double,6,"42,366",10.654
10,down,4,"293,731",12.59
10,dream,5,"32,423",10.387
10,dreams,6,"23,464",10.063
10,dreary,6,408,6.011
10,drugs,5,"30,191",10.315
10,duo,3,"5,533",8.618
10,dynamic,7,"16,682",9.722
10,Easter,6,"3,226",8.079
10,eat,3,"35,550",10.479
10,effects,7,"42,473",10.657
10,elements,8,"17,438",9.766
10,encyclopedia,12,"4,635",8.441
10,ended,5,"18,912",9.848
10,endurance,9,"2,004",7.603
10,engages,7,767,6.642
10,English,7,"77,179",11.254
10,enjoy,5,"46,729",10.752
10,entertaining,12,"5,312",8.578
10,entire,6,"62,545",11.044
10,epic,4,"5,310",8.577
10,episodes,8,"15,188",9.628
10,especially,10,"94,104",11.452
10,espresso,8,"1,543",7.341
10,estranged,9,262,5.568
10,evaporation,11,655,6.485
10,every,5,"230,149",12.346
10,everywhere,10,"14,825",9.604
10,example,7,"139,009",11.842
10,excitement,10,"5,307",8.577
10,exciting,8,"14,495",9.582
10,exclusive,9,"7,845",8.968
10,exhausted,9,"2,651",7.883
10,exploration,11,"4,287",8.363
10,faced,5,"6,836",8.83
10,family,6,"88,710",11.393
10,fan,3,"37,452",10.531
10,fanciful,8,347,5.849
10,fancy,5,"7,351",8.903
10,father,6,"38,034",10.546
10,feedback,8,"16,363",9.703
10,feels,5,"16,639",9.72
10,felt,4,"50,231",10.824
10,fields,6,"25,419",10.143
10,film's,6,589,6.378
10,finally,7,"70,037",11.157
10,find,4,"378,725",12.845
10,finds,5,"11,954",9.389
10,finest,6,"8,767",9.079
10,finger,6,"37,566",10.534
10,five,4,"62,706",11.046
10,fix,3,"35,995",10.491
10,Florida,7,"26,340",10.179
10,focus,5,"27,452",10.22
10,follow,6,"58,490",10.977
10,form,4,"118,268",11.681
10,format,6,"79,019",11.277
10,formed,6,"14,486",9.581
10,forward,7,"58,128",10.97
10,found,5,"199,981",12.206
10,freaking,8,756,6.628
10,friendship,10,"6,245",8.74
10,full,4,"155,605",11.955
10,functions,9,"33,459",10.418
10,funny,5,"36,714",10.511
10,gazing,6,612,6.417
10,George,6,"46,181",10.74
10,gets,4,"86,927",11.373
10,getting,7,"160,518",11.986
10,gifted,6,"1,836",7.515
10,given,5,"123,144",11.721
10,gives,5,"54,544",10.907
10,goal,4,"26,030",10.167
10,god,3,"129,944",11.775
10,gonna,5,"22,084",10.003
10,greeting,8,"1,933",7.567
10,grounded,8,"1,905",7.552
10,grown,5,"10,655",9.274
10,guilt,5,"5,016",8.52
10,half,4,"71,926",11.183
10,Hamiltonian,11,106,4.663
10,happier,7,"3,273",8.093
10,happiness,9,"8,685",9.069
10,hastier,7,0,0
10,having,6,"166,984",12.026
10,head,4,"109,089",11.6
10,headache,8,"2,655",7.884
10,heads,5,"17,890",9.792
10,hearing,7,"28,801",10.268
10,hell,4,"62,006",11.035
10,hello,5,"41,649",10.637
10,hero,4,"15,998",9.68
10,hi,2,"85,982",11.362
10,highly,6,"40,740",10.615
10,hilarious,9,"2,970",7.996
10,history,7,"87,544",11.38
10,holding,7,"24,422",10.103
10,Hollywood's,11,202,5.308
10,honestly,8,"8,442",9.041
10,hope,4,"150,675",11.923
10,hopes,5,"8,212",9.013
10,horrible,8,"8,476",9.045
10,horrific,8,857,6.753
10,how's,5,"3,095",8.038
10,humor,5,"12,777",9.455
10,hungry,6,"6,300",8.748
10,hurry,5,"5,137",8.544
10,I'd,3,"170,846",12.049
10,ideas,5,"69,254",11.146
10,illustration,12,"2,166",7.681
10,implement,9,"15,447",9.645
10,imprinted,9,322,5.775
10,indeed,6,"43,972",10.691
10,individuals,11,"40,358",10.606
10,inner,5,"11,691",9.367
10,inspiring,9,"1,246",7.128
10,insult,6,"7,102",8.868
10,interest,8,"90,246",11.41
10,interesting,11,"83,904",11.337
10,interview,9,"20,464",9.926
10,intimate,8,"3,281",8.096
10,intimidate,10,"1,152",7.049
10,issues,6,"82,971",11.326
10,jean,4,"9,330",9.141
10,Joan's,6,128,4.852
10,job,3,"152,135",11.933
10,joy,3,"11,703",9.368
